autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,three sides,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two green and big pink,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two big round pink,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two five point big blue,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,big squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two green and one black five points,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two black 4-sided shapes and one green,square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two small black five sides and big pink round,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,small round,circle,no,type,"two, small, black, circle","one, big, green, square"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,small five points,black,no,non_type,"two, small, black, star","one, big, blue, circle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two big pink five points,star,yes,type,"two, big, pink, star","one, small, green, triangle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two small green five points and big pink,small,yes,non_type,"two, small, green, star","one, big, pink, square"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,five points,star,no,type,"two, big, green, star","one, small, pink, circle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,big green points,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two small green five sides,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,big black point and small blue five point,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two small round,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,small black round,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,2 big blue points and small black,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),5a2ba3972a1bed0001f352a6,two blue and a green three,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"small green squares, pink star",square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"large pink circles, black star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"2 circle, 1 triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"large blue stars, black pentagon","big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"2 black squares, green pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,"small black pentagons, pink circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
Yes (clinically diagnosed),5a6f3f01fab9ca000166cade,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
