autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
No,5a51456eacc75b000179c08b,circle,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5a51456eacc75b000179c08b,black circle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5a51456eacc75b000179c08b,big blue triangle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5a51456eacc75b000179c08b,blue square,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5aeabf2c15a9c300011acbc3,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5aeabf2c15a9c300011acbc3,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5aeabf2c15a9c300011acbc3,"green squares, pink star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,5aeabf2c15a9c300011acbc3,"large circle, black star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5aeabf2c15a9c300011acbc3,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5aeabf2c15a9c300011acbc3,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5aeabf2c15a9c300011acbc3,"pink circles, blue triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5aeabf2c15a9c300011acbc3,"blue stars, black pentagon","big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5aeabf2c15a9c300011acbc3,blue square,square,no,type,"two, big, blue, square","one, small, black, star"
No,5aeabf2c15a9c300011acbc3,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5aeabf2c15a9c300011acbc3,"black squares, green pentagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5aeabf2c15a9c300011acbc3,"pink circle, black pentagons","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5aeabf2c15a9c300011acbc3,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5aeabf2c15a9c300011acbc3,black star,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5aeabf2c15a9c300011acbc3,"large stars, green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5aeabf2c15a9c300011acbc3,"pink square, green triangles",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5aeabf2c15a9c300011acbc3,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5aeabf2c15a9c300011acbc3,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5aeabf2c15a9c300011acbc3,"black square, green pentagons",pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5aeabf2c15a9c300011acbc3,"black triangles, blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5aeabf2c15a9c300011acbc3,circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5aeabf2c15a9c300011acbc3,"black circles, triangle",black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5aeabf2c15a9c300011acbc3,"blue triangles, black circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5aeabf2c15a9c300011acbc3,"green triangle, blue squares",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5b8011a80a67ca0001cc3f9b,pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5b8011a80a67ca0001cc3f9b,large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5b8011a80a67ca0001cc3f9b,green squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5b8011a80a67ca0001cc3f9b,large circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5b8011a80a67ca0001cc3f9b,triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5b8011a80a67ca0001cc3f9b,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5b8011a80a67ca0001cc3f9b,pink circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5b8011a80a67ca0001cc3f9b,large blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5b8011a80a67ca0001cc3f9b,squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5b8011a80a67ca0001cc3f9b,green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5b8011a80a67ca0001cc3f9b,squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5b8011a80a67ca0001cc3f9b,black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5b8011a80a67ca0001cc3f9b,circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5b8011a80a67ca0001cc3f9b,black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5b8011a80a67ca0001cc3f9b,stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5b8011a80a67ca0001cc3f9b,small stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5b8011a80a67ca0001cc3f9b,stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5b8011a80a67ca0001cc3f9b,large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5b8011a80a67ca0001cc3f9b,green pentagons,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5b8011a80a67ca0001cc3f9b,black triangles,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5b8011a80a67ca0001cc3f9b,2 circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5b8011a80a67ca0001cc3f9b,black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5b8011a80a67ca0001cc3f9b,triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5b8011a80a67ca0001cc3f9b,blue squares,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5b9754dce1adf100014ac3d1,squares,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5b9754dce1adf100014ac3d1,circles,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5b9754dce1adf100014ac3d1,squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5b9754dce1adf100014ac3d1,small circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5b9754dce1adf100014ac3d1,stars,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5b9754dce1adf100014ac3d1,squares,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5b9754dce1adf100014ac3d1,circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5b9754dce1adf100014ac3d1,green stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5b9754dce1adf100014ac3d1,pentagons,square,no,type,"two, big, blue, square","one, small, black, star"
No,5b9754dce1adf100014ac3d1,circles,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5b9754dce1adf100014ac3d1,stars,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5b9754dce1adf100014ac3d1,small pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5b9754dce1adf100014ac3d1,pentagons,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5b9754dce1adf100014ac3d1,triangles,black,no,non_type,"two, small, black, star","one, big, blue, circle"
